Administrative Unit;Administrative Unit Name;Administrative Unit - RegionId;School;School Name;Scale;Units;2014;2015;2016;2017;2018;2019;2020
C32;Laikipia;KE-700-LA;2;Secondary;units;Number;29120;30955;32385;33697;34568;39339;42906
C33;Nakuru;KE-700-NA;1;Primary;units;Number;435819;440183;447114;452257;458272;478057;451255
C33;Nakuru;KE-700-NA;2;Secondary;units;Number;110025;120374;128716;133932;141011;171707;182381
C34;Narok;KE-700-NK;1;Primary;units;Number;250213;264882;274430;277587;281279;297685;284854
C34;Narok;KE-700-NK;2;Secondary;units;Number;26342;29594;32105;33406;35694;42368;50917
C35;Kajiado;KE-700-KA;1;Primary;units;Number;158064;156649;167048;168970;171217;191184;197969
C35;Kajiado;KE-700-KA;2;Secondary;units;Number;24709;28535;29320;30508;31611;38952;44137
C36;Bomet;KE-700-BO;1;Primary;units;Number;235316;240710;242928;245722;248990;222619;234872
C36;Bomet;KE-700-BO;2;Secondary;units;Number;52251;61354;66382;69072;74020;80592;92037
C37;Kericho;KE-700-KR;1;Primary;units;Number;234910;233505;233324;236008;239147;231197;224734
C37;Kericho;KE-700-KR;2;Secondary;units;Number;54421;59908;62793;65337;67413;83320;91146
C38;Kakamega;KE-800-KA;1;Primary;units;Number;557107;566487;575521;582141;589883;555021;550211
C38;Kakamega;KE-800-KA;2;Secondary;units;Number;116732;126747;134687;140145;145562;165291;181354
C39;Vihiga;KE-800-VI;1;Primary;units;Number;174958;176807;175233;177249;179606;169354;164880
C39;Vihiga;KE-800-VI;2;Secondary;units;Number;51829;56157;60825;63290;66844;68516;72787
C40;Bungoma;KE-800-BU;1;Primary;units;Number;519362;548904;549510;555831;563224;500157;497153
C40;Bungoma;KE-800-BU;2;Secondary;units;Number;104986;117190;127323;132482;141465;153688;163284
C41;Busia;KE-800-BS;1;Primary;units;Number;255008;253779;249110;251975;255326;250860;247331
C41;Busia;KE-800-BS;2;Secondary;units;Number;41332;47580;51214;53289;56957;64217;71067
C42;Siaya;KE-600-SI;1;Primary;units;Number;257141;265324;267883;270964;274568;269526;273916
C42;Siaya;KE-600-SI;2;Secondary;units;Number;64256;73547;76393;79489;82892;92124;101031
C43;Kisumu;KE-600-KI;1;Primary;units;Number;263750;267928;272413;275547;279212;287164;290516
C43;Kisumu;KE-600-KI;2;Secondary;units;Number;66826;71000;75842;78915;81680;93291;101814
C44;Homabay;KE-600-HB;1;Primary;units;Number;322495;327218;327391;331157;335561;313666;330212
C44;Homabay;KE-600-HB;2;Secondary;units;Number;74453;80431;84224;87637;90308;103617;111998
C45;Kisii;KE-600-KK;1;Primary;units;Number;321082;316635;325425;329168;333546;277454;314415
C45;Kisii;KE-600-KK;2;Secondary;units;Number;110473;118594;118986;123808;124817;86755;130081
C46;Migori;KE-600-MI;1;Primary;units;Number;307931;311602;316949;320595;324859;346500;327092
C46;Migori;KE-600-MI;2;Secondary;units;Number;63066;70125;75318;78370;83070;133121;100348
C47;Nyamira;KE-600-NN;1;Primary;units;Number;153253;154092;153962;155733;157804;162596;151398
C47;Nyamira;KE-600-NN;2;Secondary;units;Number;48611;53021;51980;54087;56808;57329;62400
C48;Nairobi City;KE-110-NA;1;Primary;units;Number;468754;450930;504220;510020;516803;414045;444527
C48;Nairobi City;KE-110-NA;2;Secondary;units;Number;69934;74878;85958;89441;96137;99746;104584
